,doi,title,authors,year,publicationName,url,citedby-count
0,10.1080/00087041.2023.2246713,An Experimental Evaluation of Kernel Density Estimation to Choose Categorical Map Colours,Wu M.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85176922833,0
1,10.1080/00087041.2023.2259174,The British Cartographic Society Awards 2022,Goldsmith J.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85176604277,0
2,10.1080/00087041.2023.2257979,The British Cartographic Society Annual Report for the Year Ended 31 December 2022,,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85176584492,0
3,10.1080/00087041.2023.2246316,The American Southern Baptist Mission and Maps of Yorùbáland: The Evolution of a Cartographic Style,Ogundiwin B.A.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85176436305,0
4,10.1080/00087041.2023.2246742,Objective and Subjective Methods for Evaluating the Usability of Schematic Maps: The Case Against Informal Expert Assessments,Roberts M.J.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85175232333,0
5,10.1080/00087041.2023.2246320,Preventing False Memories and Revitalizing Collective Memory with the Help of Historical Cartographic Materials and GIS: An Examination of the Lost Piers of Mersin,Beyhan B.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85174574908,0
6,10.1080/00087041.2023.2216496,The Polar Chart of Pedro Reinel (c. 1521–1524): A Diplomatic Tool or a Scientific Argument?,Gaspar J.A.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85173860873,0
7,10.1080/00087041.2023.2182372,A Displacement Algorithm Considering Geometry Constraints to Resolve Spatial Conflicts between Roads and Buildings,Ma J.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85170714903,0
8,10.1080/00087041.2022.2152977,A Proposal for Multi-scale Topographic Map Symbols for Roads and Buildings in Brazilian Urban Areas,Araujo V.S.d.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85167432514,0
9,10.1080/00087041.2023.2172533,Geometric Stalemate and De-Evolution of Adriatic Sea Representations on Early Modern Age Nautical Charts,Marelić T.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85159090547,1
10,10.1080/00087041.2022.2150362,Verification of Cartographic Communication Models Using Detection of Map Reading Strategies Based on Eye Movement Recording,Beitlova M.,2023,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85150607860,1
11,10.1080/00087041.2022.2155762,"A Comparative Analysis of the Soviet Military City Plans of Tel Aviv, Israel and Copenhagen, Denmark (1985)",Schaffer G.,2022,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85170519367,0
12,10.1080/00087041.2021.1978619,Lists of Important Objects on Soviet Military City Plans–An Initial Analysis,Davies J.,2022,Cartographic Journal,https://api.elsevier.com/content/abstract/scopus_id/85140244579,0
