,doi,title,authors,year,publicationName,url,citedby-count
0,10.1109/PacificVis56936.2023.00010,"Parallel Assemblies Plot, a visualization tool to explore categorical and quantitative data: Application to digital mobility outcomes",Cantu A.,2023,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85163413924,0
1,10.1109/PacificVis53943.2022.00012,Scalar2Vec: Translating Scalar Fields to Vector Fields via Deep Learning,Gu P.,2022,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85132398200,2
2,10.1109/PacificVis52677.2021.00015,NetScatter: Visual analytics of multivariate time series with a hybrid of dynamic and static variable relationships,Nguyen B.D.Q.,April 2021,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85107443219,2
3,10.1109/PacificVis52677.2021.00026,On the Visualization of Hierarchical Multivariate Data,Zheng B.,April 2021,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85107438384,6
4,10.1109/PacificVis48177.2020.9915,Representing Multivariate Data by Optimal Colors to Uncover Events of Interest in Time Series Data,Chen D.B.,June 2020,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85085179279,3
5,10.1109/PacificVis.2019.00030,Analysis of coupled thermo-hydro-mechanical simulations of a generic nuclear waste repository in clay rock using fiber surfaces,Blecha C.,April 2019,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85070702681,7
6,10.1109/PacificVis.2018.00033,An Evaluation of Perceptually Complementary Views for Multivariate Data,Chang C.,25 May 2018,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85048283553,9
7,10.1109/PacificVis.2018.00017,In Situ Prediction Driven Feature Analysis in Jet Engine Simulations,Dutta S.,25 May 2018,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85048280825,14
8,10.1109/PacificVis.2018.00030,HeloVis: A Helical Visualization for SIGINT Analysis Using 3D Immersion,Cantu A.,25 May 2018,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85048262459,13
9,10.1109/PACIFICVIS.2017.8031592,Efficient GPU-accelerated computation of isosurface similarity maps,Imre M.,11 September 2017,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85032008269,6
10,10.1109/PACIFICVIS.2017.8031588,Multivariate volumetric data analysis and visualization through bottom-up subspace exploration,Lu K.,11 September 2017,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/85032002027,10
11,10.1109/PACIFICVIS.2016.7465263,ICLIC: Interactive categorization of large image collections,Van Der Corput P.,4 May 2016,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84973641545,9
12,10.1109/PACIFICVIS.2016.7465276,Visual analysis of body movement in serious games for healthcare,Purwantiningsih O.,4 May 2016,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84973596253,8
13,10.1109/PACIFICVIS.2015.7156370,Visualizing 2D scalar fields with hierarchical topology,Wu K.,14 July 2015,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84942257638,5
14,10.1109/PACIFICVIS.2015.7156390,Improving the fidelity of contextual data layouts using a Generalized Barycentric Coordinates framework,Cheng S.,14 July 2015,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84942251146,16
15,10.1109/PACIFICVIS.2015.7156374,TraVis - A visualization framework for mobile transect data sets in an urban microclimate context,Hab K.,14 July 2015,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84942250993,10
16,10.1109/PACIFICVIS.2015.7156369,Application of Pareto sets in quality control of series production in car manufacturing,Huettenberger L.,14 July 2015,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84942247898,4
17,10.1109/PACIFICVIS.2015.7156389,Biclustering multivariate data for correlated subspace mining,Watanabe K.,14 July 2015,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84942238914,11
18,10.1109/PacificVis.2014.33,Visual analysis of habitat suitability index model for predicting the locations of fishing grounds,Uenaka T.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899565969,5
19,10.1109/PacificVis.2014.15,Scalable Lagrangian-based attribute space projection for multivariate unsteady flow data,Guo H.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899553788,18
20,10.1109/PacificVis.2014.13,Non-overlapping aggregated multivariate glyphs for moving objects,Scheepens R.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899545032,28
21,10.1109/PacificVis.2014.62,Agenda setting in policy-making using visualization techniques,Koyamada K.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899535907,0
22,10.1109/PacificVis.2014.67,"Visualization for visual analytics: Micro-visualization, abstraction, and physical appeal",Brandes U.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899534727,3
23,,"Proceedings - 2014 IEEE Pacific Visualization Symposium, PacificVis 2014",,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899528263,0
24,10.1109/PacificVis.2014.59,Multidimensional projection with radial basis function and control points selection,Amorim E.,2014,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84899512246,7
25,,"IEEE Symposium on Pacific Visualization 2013, PacificVis 2013 - Proceedings",,2013,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84889065082,0
26,10.1109/PacificVis.2013.6596139,Interactive selection of multivariate features in large spatiotemporal data,Wang J.,2013,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84889042370,3
27,10.1109/PacificVis.2013.6596130,Transfer function design based on user selected samples for intuitive multivariate volume exploration,Zhou L.,2013,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84889035012,22
28,10.1109/PacificVis.2013.6596144,Visual analysis of uncertainties in ocean forecasts for planning and operation of off-shore structures,Hollt T.,2013,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84889029037,30
29,10.1109/PacificVis.2013.6596141,Joint Contour Nets: Computation and properties,Carr H.,2013,IEEE Pacific Visualization Symposium,https://api.elsevier.com/content/abstract/scopus_id/84889024371,19
